ad_type,impressions,spend_usd,geo_targeting_included,CPM
Video,10,550.0,Alaska,55000.0
Image,10100,550.0,Nebraska,54.45544554455446
Image,1001,550.0,Nebraska,549.4505494505495
Text,10100,550.0,Oregon,54.45544554455446
Image,1001,550.0,Idaho,549.4505494505495
Text,10,550.0,Alaska,55000.0
Text,10,550.0,Oklahoma,55000.0
Text,10,550.0,Nebraska,55000.0
Image,1001,550.0,Kansas,549.4505494505495
Video,10100,550.0,Oregon,54.45544554455446
Video,10,550.0,Arkansas,55000.0
Text,10,550.0,Idaho,55000.0
Text,10,550.0,Connecticut,55000.0
Text,10,550.0,Arkansas,55000.0
Text,10,550.0,Oregon,55000.0
Text,10,550.0,New Mexico,55000.0
Text,10,550.0,Delaware,55000.0
Video,10100,550.0,Kansas,54.45544554455446
Text,10,550.0,Maryland,55000.0
Video,10,550.0,New Mexico,55000.0
Image,10100,550.0,Rhode Island,54.45544554455446
Image,10100,550.0,South Dakota,54.45544554455446
Video,10,550.0,Nebraska,55000.0
Video,10,550.0,Vermont,55000.0
Image,1001,550.0,Vermont,549.4505494505495
Text,10,550.0,Kansas,55000.0
Text,10,550.0,Hawaii,55000.0
Text,10,550.0,Vermont,55000.0
Video,10100,550.0,New Mexico,54.45544554455446
Video,10100,550.0,Alaska,54.45544554455446
Text,10,550.0,Rhode Island,55000.0
Video,10100,550.0,Arkansas,54.45544554455446
Image,10100,550.0,Delaware,54.45544554455446
Video,10,550.0,Kansas,55000.0
Video,10100,550.0,Vermont,54.45544554455446
Image,10100,550.0,Oregon,54.45544554455446
Image,10100,550.0,Idaho,54.45544554455446
Text,10,550.0,South Dakota,55000.0
Image,10100,550.0,Oklahoma,54.45544554455446
Video,10100,550.0,South Dakota,54.45544554455446
Image,1001,550.0,Oklahoma,549.4505494505495
Video,10100,550.0,Delaware,54.45544554455446
Image,1001,550.0,Arkansas,549.4505494505495
Image,1001,550.0,Oregon,549.4505494505495
Text,10100,550.0,New Mexico,54.45544554455446
Video,10100,550.0,Oklahoma,54.45544554455446
Image,1001,550.0,Delaware,549.4505494505495
Image,1001,550.0,Connecticut,549.4505494505495
Text,1001,550.0,Delaware,549.4505494505495
Video,10,550.0,Oklahoma,55000.0
Video,10100,550.0,Connecticut,54.45544554455446
Image,1001,550.0,South Dakota,549.4505494505495
Video,10100,550.0,Hawaii,54.45544554455446
Image,10100,550.0,Arkansas,54.45544554455446
Video,10100,550.0,Maryland,54.45544554455446
Text,10100,550.0,Vermont,54.45544554455446
Image,1001,550.0,Hawaii,549.4505494505495
Image,10100,550.0,Maryland,54.45544554455446
Text,10100,550.0,South Dakota,54.45544554455446
Text,10100,550.0,Delaware,54.45544554455446
Video,10,550.0,Maryland,55000.0
Image,10100,550.0,New Mexico,54.45544554455446
Image,1001,550.0,Maryland,549.4505494505495
Image,1001,550.0,Rhode Island,549.4505494505495
Image,10,550.0,Maryland,55000.0
Video,10100,550.0,Idaho,54.45544554455446
Text,10100,550.0,Oklahoma,54.45544554455446
Image,10100,550.0,Kansas,54.45544554455446
Text,10100,550.0,Idaho,54.45544554455446
Text,10100,550.0,Maryland,54.45544554455446
Video,110,550.0,Arkansas,5000.0
Video,1001,550.0,Nebraska,549.4505494505495
Video,1001,550.0,Kansas,549.4505494505495
Text,10100,550.0,Nebraska,54.45544554455446
Image,110,550.0,Oklahoma,5000.0
Video,1001,550.0,South Dakota,549.4505494505495
Image,1001,550.0,Alaska,549.4505494505495
Image,10100,550.0,Connecticut,54.45544554455446
Video,10100,550.0,Nebraska,54.45544554455446
Video,1001,550.0,Connecticut,549.4505494505495
Video,1001,550.0,Alaska,549.4505494505495
Video,1001,550.0,Arkansas,549.4505494505495
Text,10100,550.0,Connecticut,54.45544554455446
Image,1001,550.0,New Mexico,549.4505494505495
Text,10100,550.0,Arkansas,54.45544554455446
Image,110,550.0,Maryland,5000.0
Video,1001,550.0,Oklahoma,549.4505494505495
Video,1001,550.0,Oregon,549.4505494505495
Image,1001,25500.0,South Dakota,25474.525474525475
Video,1001,25500.0,Alaska,25474.525474525475
Video,1001,25500.0,Rhode Island,25474.525474525475
Video,110,25500.0,Kansas,231818.18181818182
Video,110,25500.0,New Mexico,231818.18181818182
Video,110,25500.0,Alaska,231818.18181818182
Text,10100,25500.0,Oregon,2524.7524752475247
Video,1001,25500.0,Kansas,25474.525474525475
Video,10,25500.0,Arkansas,2550000.0
Video,1001,25500.0,Oregon,25474.525474525475
Video,1001,25500.0,Maryland,25474.525474525475
Text,10100,25500.0,Kansas,2524.7524752475247
Video,110,25500.0,Maryland,231818.18181818182
Text,1001,25500.0,Maryland,25474.525474525475
Text,1001,25500.0,Oklahoma,25474.525474525475
Image,110,25500.0,Alaska,231818.18181818182
Text,1001,25500.0,Oregon,25474.525474525475
Video,110,25500.0,Oregon,231818.18181818182
Video,110,25500.0,Delaware,231818.18181818182
Video,10100,25500.0,Oklahoma,2524.7524752475247
Video,10100,25500.0,Alaska,2524.7524752475247
Text,10100,25500.0,New Mexico,2524.7524752475247
Video,1001,25500.0,Oklahoma,25474.525474525475
Text,10100,25500.0,Alaska,2524.7524752475247
Text,10,25500.0,South Dakota,2550000.0
Image,1001,25500.0,Nebraska,25474.525474525475
Video,10100,25500.0,Vermont,2524.7524752475247
Video,10100,25500.0,Arkansas,2524.7524752475247
Video,1001,25500.0,Arkansas,25474.525474525475
Image,1001,25500.0,Kansas,25474.525474525475
Image,110,25500.0,Nebraska,231818.18181818182
Text,10,25500.0,Arkansas,2550000.0
Text,10,25500.0,Oregon,2550000.0
Text,10,25500.0,Oklahoma,2550000.0
Text,10,25500.0,Alaska,2550000.0
Video,1001,25500.0,Delaware,25474.525474525475
Image,1001,25500.0,Alaska,25474.525474525475
Video,10100,25500.0,Nebraska,2524.7524752475247
Image,110,25500.0,Kansas,231818.18181818182
Image,110,25500.0,Maryland,231818.18181818182
Text,10100,25500.0,Rhode Island,2524.7524752475247
Image,1001,25500.0,Oklahoma,25474.525474525475
Image,1001,25500.0,Maryland,25474.525474525475
Text,10100,25500.0,Oklahoma,2524.7524752475247
Video,10100,25500.0,Kansas,2524.7524752475247
Video,1001,25500.0,Vermont,25474.525474525475
Text,10100,25500.0,Vermont,2524.7524752475247
Image,1001,25500.0,Delaware,25474.525474525475
Image,110,25500.0,New Mexico,231818.18181818182
Image,10100,25500.0,New Mexico,2524.7524752475247
Text,10,25500.0,Nebraska,2550000.0
Video,10100,25500.0,New Mexico,2524.7524752475247
Text,1001,25500.0,Nebraska,25474.525474525475
Text,10,25500.0,Delaware,2550000.0
Video,10100,25500.0,Idaho,2524.7524752475247
Image,1001,25500.0,New Mexico,25474.525474525475
Text,10100,25500.0,Maryland,2524.7524752475247
Video,1001,25500.0,Nebraska,25474.525474525475
Video,1001,25500.0,Idaho,25474.525474525475
Image,1001,25500.0,Arkansas,25474.525474525475
Text,10,25500.0,Vermont,2550000.0
Text,10100,25500.0,Connecticut,2524.7524752475247
Text,1001,25500.0,Arkansas,25474.525474525475
Text,10,25500.0,Kansas,2550000.0
Text,10,25500.0,Idaho,2550000.0
Text,10100,25500.0,Idaho,2524.7524752475247
Video,110,25500.0,Arkansas,231818.18181818182
Text,1001,25500.0,Kansas,25474.525474525475
Text,1001,25500.0,Hawaii,25474.525474525475
Text,10100,25500.0,Nebraska,2524.7524752475247
Video,10100,25500.0,Rhode Island,2524.7524752475247
Text,10100,25500.0,South Dakota,2524.7524752475247
Text,10100,25500.0,Delaware,2524.7524752475247
Video,1001,25500.0,Hawaii,25474.525474525475
Text,10,25500.0,Maryland,2550000.0
Text,1001,25500.0,Rhode Island,25474.525474525475
Text,10100,25500.0,Arkansas,2524.7524752475247
Video,1001,25500.0,South Dakota,25474.525474525475
Text,10,25500.0,New Mexico,2550000.0
Video,1001,25500.0,New Mexico,25474.525474525475
Video,10100,25500.0,Delaware,2524.7524752475247
Video,110,100000.0,Alaska,909090.9090909092
Video,10,100.0,Maryland,10000.0
Text,10,100.0,Oregon,10000.0
Text,10,100.0,Hawaii,10000.0
Text,10,100.0,Arkansas,10000.0
Text,10,100.0,Maryland,10000.0
Text,10,100.0,Vermont,10000.0
Text,10,100.0,Connecticut,10000.0
Text,10,100.0,South Dakota,10000.0
Text,10,100.0,Delaware,10000.0
Text,10,100.0,Alaska,10000.0
Text,10,100.0,Kansas,10000.0
Text,10,100.0,Oklahoma,10000.0
Text,10,100.0,New Mexico,10000.0
Text,10,100.0,Rhode Island,10000.0
Text,10,100.0,Nebraska,10000.0
Image,10,100.0,New Mexico,10000.0
Video,10,100.0,Hawaii,10000.0
Image,10,100.0,Alaska,10000.0
Image,10,100.0,Idaho,10000.0
Image,10100,100.0,Connecticut,9.900990099009901
Video,10,100.0,New Mexico,10000.0
Image,10100,100.0,Hawaii,9.900990099009901
Video,10,100.0,Connecticut,10000.0
Image,10,100.0,Delaware,10000.0
Image,10,100.0,Connecticut,10000.0
Image,10,100.0,Oklahoma,10000.0
Image,10100,100.0,Idaho,9.900990099009901
Image,10,100.0,Oregon,10000.0
Video,10,100.0,Alaska,10000.0
Video,10,100.0,Oklahoma,10000.0
Text,10,100.0,Idaho,10000.0
Image,10100,100.0,South Dakota,9.900990099009901
Video,10,100.0,Arkansas,10000.0
Image,10100,100.0,Kansas,9.900990099009901
Image,10,100.0,Arkansas,10000.0
Image,10100,100.0,Oregon,9.900990099009901
Image,10100,100.0,New Mexico,9.900990099009901
Image,10100,100.0,Maryland,9.900990099009901
Image,10,100.0,South Dakota,10000.0
Video,10,100.0,Idaho,10000.0
Image,10100,100.0,Delaware,9.900990099009901
Image,10,100.0,Maryland,10000.0
Image,10100,100.0,Arkansas,9.900990099009901
Image,10100,100.0,Oklahoma,9.900990099009901
Video,10,100.0,Delaware,10000.0
Image,10,100.0,Kansas,10000.0
Image,10,100.0,Rhode Island,10000.0
Video,10,100.0,Kansas,10000.0
Video,10,100.0,Nebraska,10000.0
Image,10100,100.0,Nebraska,9.900990099009901
Video,10,100.0,Vermont,10000.0
Image,10100,100.0,Rhode Island,9.900990099009901
Image,10100,100.0,Vermont,9.900990099009901
Image,10,100.0,Hawaii,10000.0
Image,10,100.0,Vermont,10000.0
Video,10,100.0,Oregon,10000.0
Image,10100,100.0,Alaska,9.900990099009901
Image,10,100.0,Nebraska,10000.0
Video,10100,100.0,Arkansas,9.900990099009901
Image,1001,100.0,Kansas,99.9000999000999
Video,10100,100.0,Kansas,9.900990099009901
Image,1001,100.0,Alaska,99.9000999000999
Video,10100,100.0,Nebraska,9.900990099009901
Video,10100,100.0,New Mexico,9.900990099009901
Video,10100,100.0,Oregon,9.900990099009901
Image,1001,100.0,Oregon,99.9000999000999
Video,10100,100.0,Hawaii,9.900990099009901
Video,10100,100.0,Alaska,9.900990099009901
Video,10100,100.0,Oklahoma,9.900990099009901
Video,10100,100.0,Connecticut,9.900990099009901
Text,10100,100.0,Delaware,9.900990099009901
Text,1001,75000.0,Oregon,74925.07492507492
Image,10100,550.0,Vermont,54.45544554455446
Video,10,550.0,Delaware,55000.0
Video,10,550.0,Oregon,55000.0
Image,10,550.0,Delaware,55000.0
Image,10,550.0,New Mexico,55000.0
Image,10100,550.0,Hawaii,54.45544554455446
Video,1001,550.0,Maryland,549.4505494505495
Text,10100,550.0,Rhode Island,54.45544554455446
Image,110,550.0,Delaware,5000.0
Text,10100,550.0,Alaska,54.45544554455446
Image,10100,550.0,Alaska,54.45544554455446
Text,1001,550.0,New Mexico,549.4505494505495
Text,10100,550.0,Kansas,54.45544554455446
Video,1001,550.0,Idaho,549.4505494505495
Text,110,25500.0,Kansas,231818.18181818182
Video,1001,25500.0,Connecticut,25474.525474525475
Image,110,25500.0,Connecticut,231818.18181818182
Text,1001,25500.0,Delaware,25474.525474525475
Image,110,25500.0,Hawaii,231818.18181818182
Text,1001,25500.0,New Mexico,25474.525474525475
Video,10100,25500.0,South Dakota,2524.7524752475247
Image,10100,25500.0,Delaware,2524.7524752475247
Image,110,25500.0,Delaware,231818.18181818182
Image,110,25500.0,Oklahoma,231818.18181818182
Image,1001,25500.0,Oregon,25474.525474525475
Video,10100,25500.0,Maryland,2524.7524752475247
Text,1001,100000.0,Kansas,99900.0999000999
Video,110,100000.0,Oregon,909090.9090909092
Image,1001,100.0,Idaho,99.9000999000999
Text,10100,100.0,Arkansas,9.900990099009901
Video,10100,100.0,Maryland,9.900990099009901
Image,1001,100.0,Delaware,99.9000999000999
Image,1001,100.0,Arkansas,99.9000999000999
Video,10,100.0,South Dakota,10000.0
Video,10100,100.0,Idaho,9.900990099009901
Image,1001,100.0,Vermont,99.9000999000999
Text,10100,100.0,South Dakota,9.900990099009901
Video,110,75000.0,Alaska,681818.1818181819
Video,10100,550.0,Iowa,54.45544554455446
Video,10,550.0,Iowa,55000.0
Image,10100,550.0,Iowa,54.45544554455446
Image,1001,550.0,Iowa,549.4505494505495
Text,10,550.0,Iowa,55000.0
Image,10,550.0,Iowa,55000.0
Video,1001,550.0,Iowa,549.4505494505495
Text,1001,550.0,Iowa,549.4505494505495
Text,10100,550.0,Iowa,54.45544554455446
Video,1001,25500.0,Iowa,25474.525474525475
Text,10100,25500.0,Iowa,2524.7524752475247
Video,110,25500.0,Iowa,231818.18181818182
Text,1001,25500.0,Iowa,25474.525474525475
Image,110,25500.0,Iowa,231818.18181818182
Image,10,25500.0,Iowa,2550000.0
Video,10100,25500.0,Iowa,2524.7524752475247
Text,10,25500.0,Iowa,2550000.0
Image,1001,25500.0,Iowa,25474.525474525475
Image,10100,25500.0,Iowa,2524.7524752475247
Video,110,100000.0,Iowa,909090.9090909092
Text,10,100.0,Iowa,10000.0
Video,10,100.0,Iowa,10000.0
Image,10,100.0,Iowa,10000.0
Image,10100,100.0,Iowa,9.900990099009901
Image,1001,100.0,Iowa,99.9000999000999
Video,10100,100.0,Iowa,9.900990099009901
Text,10100,100.0,Iowa,9.900990099009901
Text,1001,100.0,Iowa,99.9000999000999
Video,110,75000.0,Iowa,681818.1818181819
Text,1001,75000.0,Iowa,74925.07492507492
Text,1001,100000.0,Iowa,99900.0999000999
Video,10100,550.0,Ohio,54.45544554455446
Video,10,550.0,Ohio,55000.0
Image,10100,550.0,Ohio,54.45544554455446
Text,10,550.0,Ohio,55000.0
Text,10100,550.0,Ohio,54.45544554455446
Image,1001,550.0,Ohio,549.4505494505495
Image,10,550.0,Ohio,55000.0
Video,1001,550.0,Ohio,549.4505494505495
Video,1001,25500.0,Ohio,25474.525474525475
Video,110,25500.0,Ohio,231818.18181818182
Text,1001,25500.0,Ohio,25474.525474525475
Image,10,25500.0,Ohio,2550000.0
Text,10100,25500.0,Ohio,2524.7524752475247
Video,10100,25500.0,Ohio,2524.7524752475247
Text,10,25500.0,Ohio,2550000.0
Image,1001,25500.0,Ohio,25474.525474525475
Image,110,25500.0,Ohio,231818.18181818182
Video,10,25500.0,Ohio,2550000.0
Video,110,100000.0,Ohio,909090.9090909092
Image,10,100.0,Ohio,10000.0
Text,10,100.0,Ohio,10000.0
Video,10,100.0,Ohio,10000.0
Image,10100,100.0,Ohio,9.900990099009901
Text,10100,100.0,Ohio,9.900990099009901
Video,10100,100.0,Ohio,9.900990099009901
Image,1001,100.0,Ohio,99.9000999000999
Video,110,75000.0,Ohio,681818.1818181819
Text,1001,75000.0,Ohio,74925.07492507492
Text,1001,550.0,Ohio,549.4505494505495
Text,10,75000.0,Ohio,7500000.0
Text,10,550.0,Utah,55000.0
Video,10100,550.0,Utah,54.45544554455446
Image,10100,550.0,Utah,54.45544554455446
Image,1001,550.0,Utah,549.4505494505495
Video,10,550.0,Utah,55000.0
Text,10100,550.0,Utah,54.45544554455446
Text,10100,25500.0,Utah,2524.7524752475247
Text,10,25500.0,Utah,2550000.0
Video,10100,25500.0,Utah,2524.7524752475247
Video,1001,25500.0,Utah,25474.525474525475
Text,1001,25500.0,Utah,25474.525474525475
Image,110,25500.0,Utah,231818.18181818182
Video,110,25500.0,Utah,231818.18181818182
Text,10,100.0,Utah,10000.0
Image,10,100.0,Utah,10000.0
Video,10,100.0,Utah,10000.0
Image,10100,100.0,Utah,9.900990099009901
Video,10100,100.0,Utah,9.900990099009901
Video,1001,100.0,Utah,99.9000999000999
Video,1001,550.0,Utah,549.4505494505495
Image,1001,25500.0,Utah,25474.525474525475
Text,10,550.0,Maine,55000.0
Image,10100,550.0,Maine,54.45544554455446
Video,10100,550.0,Maine,54.45544554455446
Video,10,550.0,Maine,55000.0
Text,10100,550.0,Maine,54.45544554455446
Image,1001,550.0,Maine,549.4505494505495
Video,1001,550.0,Maine,549.4505494505495
Video,1001,25500.0,Maine,25474.525474525475
Text,10100,25500.0,Maine,2524.7524752475247
Video,110,25500.0,Maine,231818.18181818182
Video,10100,25500.0,Maine,2524.7524752475247
Text,10,25500.0,Maine,2550000.0
Image,110,25500.0,Maine,231818.18181818182
Image,1001,25500.0,Maine,25474.525474525475
Image,10100,25500.0,Maine,2524.7524752475247
Text,1001,100000.0,Maine,99900.0999000999
Text,10100,100000.0,Maine,9900.990099009901
Video,10,100.0,Maine,10000.0
Image,10,100.0,Maine,10000.0
Text,10,100.0,Maine,10000.0
Text,10100,100.0,Maine,9.900990099009901
Image,10100,100.0,Maine,9.900990099009901
Image,1001,100.0,Maine,99.9000999000999
Text,1001,75000.0,Maine,74925.07492507492
Video,110,75000.0,Maine,681818.1818181819
Text,1001,25500.0,Maine,25474.525474525475
Video,10100,100.0,Maine,9.900990099009901
Text,10100,75000.0,Maine,7425.742574257426
Image,10,550.0,Texas,55000.0
Image,10100,550.0,Texas,54.45544554455446
Text,10,550.0,Texas,55000.0
Image,1001,550.0,Texas,549.4505494505495
Video,10100,550.0,Texas,54.45544554455446
Video,10,550.0,Texas,55000.0
Text,10100,550.0,Texas,54.45544554455446
Video,1001,550.0,Texas,549.4505494505495
Image,110,550.0,Texas,5000.0
Text,1001,550.0,Texas,549.4505494505495
Text,1001,25500.0,Texas,25474.525474525475
Text,10100,25500.0,Texas,2524.7524752475247
Video,110,25500.0,Texas,231818.18181818182
Video,1001,25500.0,Texas,25474.525474525475
Image,110,25500.0,Texas,231818.18181818182
Image,10,25500.0,Texas,2550000.0
Image,1001,25500.0,Texas,25474.525474525475
Text,10,25500.0,Texas,2550000.0
Video,10100,25500.0,Texas,2524.7524752475247
Text,110,25500.0,Texas,231818.18181818182
Image,10100,25500.0,Texas,2524.7524752475247
Video,10,100000.0,Texas,10000000.0
Video,110,100000.0,Texas,909090.9090909092
Text,10,100.0,Texas,10000.0
Image,10,100.0,Texas,10000.0
Video,10,100.0,Texas,10000.0
Image,10100,100.0,Texas,9.900990099009901
Video,10100,100.0,Texas,9.900990099009901
Image,1001,100.0,Texas,99.9000999000999
Text,10100,100.0,Texas,9.900990099009901
Video,110,75000.0,Texas,681818.1818181819
Image,110,75000.0,Texas,681818.1818181819
Text,1001,75000.0,Texas,74925.07492507492
Text,110,100000.0,Texas,909090.9090909092
Video,1001,100.0,Texas,99.9000999000999
Text,10,550.0,Nevada,55000.0
Video,10100,550.0,Nevada,54.45544554455446
Video,10,550.0,Nevada,55000.0
Image,10100,550.0,Nevada,54.45544554455446
Text,10100,550.0,Nevada,54.45544554455446
Image,1001,550.0,Nevada,549.4505494505495
Image,10,550.0,Nevada,55000.0
Video,1001,550.0,Nevada,549.4505494505495
Video,1001,25500.0,Nevada,25474.525474525475
Text,10100,25500.0,Nevada,2524.7524752475247
Video,110,25500.0,Nevada,231818.18181818182
Image,1001,25500.0,Nevada,25474.525474525475
Text,10,25500.0,Nevada,2550000.0
Video,10100,25500.0,Nevada,2524.7524752475247
Image,110,25500.0,Nevada,231818.18181818182
Image,10100,25500.0,Nevada,2524.7524752475247
Video,10,25500.0,Nevada,2550000.0
